id,name_en,name_th,arcana,suit,number,art,keywords,upright,reversed
maj00,The Fool,คนโง่,Major,-,0,🃏,เริ่มต้น|อิสระ|ความไร้เดียงสา,การเริ่มต้นใหม่ ความกล้าที่จะก้าวเดินด้วยใจเปิดกว้าง โดยไม่กลัวสิ่งที่ยังมาไม่ถึง,ความประมาท ลังเล หรือความกลัวการเปลี่ยนแปลงจนไม่กล้าเริ่มต้น
maj01,The Magician,นักมายากล,Major,-,1,🪄,พลัง|ความตั้งใจ|การสร้างสรรค์,คุณมีเครื่องมือและศักยภาพครบพร้อมที่จะเปลี่ยนความคิดให้กลายเป็นจริง,พลังที่ยังไม่ถูกใช้ ความลังเลในตนเอง หรือการใช้ความสามารถไปในทางที่ไม่ตรง
maj02,The High Priestess,นักบวชหญิง,Major,-,2,🌙,สัญชาตญาณ|ความลึกลับ|ปัญญาภายใน,จงฟังเสียงภายในและความรู้สึกที่เงียบงัน คำตอบบางอย่างอยู่ลึกกว่าเหตุผล,การละเลยสัญชาตญาณ ความลับที่ยังไม่เปิดเผย หรือการตัดขาดจากเสียงในใจ
maj03,The Empress,จักรพรรดินี,Major,-,3,👑,ความอุดมสมบูรณ์|การดูแล|ความคิดสร้างสรรค์,ช่วงเวลาแห่งการเติบโต ความอบอุ่น และการหล่อเลี้ยงสิ่งที่คุณรักให้งอกงาม,การละเลยดูแลตัวเอง ความคิดที่ตีบตัน หรือการพึ่งพิงผู้อื่นมากเกินไป
maj04,The Emperor,จักรพรรดิ,Major,-,4,🏛️,โครงสร้าง|อำนาจ|ความมั่นคง,ความมั่นคงที่เกิดจากระเบียบ วินัย และการวางรากฐานอย่างหนักแน่น,การควบคุมที่มากเกินไป ความดื้อรั้น หรือการขาดทิศทางที่ชัดเจน
maj05,The Hierophant,นักบวช,Major,-,5,🕊️,ประเพณี|การเรียนรู้|ความเชื่อ,การเรียนรู้จากประเพณี ครูบาอาจารย์ หรือคุณค่าที่ยึดถือสืบต่อกันมา,การตั้งคำถามกับกฎเกณฑ์เดิม หรือการหาเส้นทางความเชื่อของตนเอง
maj06,The Lovers,คู่รัก,Major,-,6,💞,ความรัก|การเลือก|ความกลมกลืน,การเชื่อมโยงที่ลึกซึ้ง และทางเลือกที่ต้องตัดสินใจด้วยหัวใจที่ซื่อตรง,ความไม่ลงรอย ความลังเลในความสัมพันธ์ หรือการเลือกที่ขัดกับคุณค่าของตน
maj07,The Chariot,รถศึก,Major,-,7,🏇,ความมุ่งมั่น|ชัยชนะ|การควบคุม,ชัยชนะที่มาจากความมุ่งมั่นและการควบคุมพลังที่ขัดแย้งให้ไปในทางเดียวกัน,การขาดทิศทาง ความรู้สึกเสียการควบคุม หรือแรงผลักที่กระจัดกระจาย
maj08,Strength,พลัง,Major,-,8,🦁,ความกล้า|ความอ่อนโยน|การควบคุมตนเอง,พลังที่แท้จริงคือความอ่อนโยนและความอดทน ไม่ใช่การใช้กำลัง,ความไม่มั่นใจ ความกลัวภายใน หรือการฝืนควบคุมอารมณ์จนเหนื่อยล้า
maj09,The Hermit,ฤๅษี,Major,-,9,🏮,การใคร่ครวญ|ปัญญา|การอยู่กับตนเอง,ช่วงเวลาแห่งการถอยออกมาทบทวน เพื่อค้นพบคำตอบจากภายในตนเอง,ความโดดเดี่ยวที่มากเกินไป หรือการหลบเลี่ยงไม่ยอมเผชิญโลกภายนอก
maj10,Wheel of Fortune,วงล้อแห่งโชคชะตา,Major,-,10,🎡,วัฏจักร|การเปลี่ยนแปลง|จังหวะชีวิต,วงล้อกำลังหมุน โชคและจังหวะชีวิตกำลังเปลี่ยนไปในทางใหม่,ช่วงชะงักงัน การต้านทานการเปลี่ยนแปลง หรือจังหวะที่ยังไม่เข้าที่
maj11,Justice,ความยุติธรรม,Major,-,11,⚖️,ความสมดุล|ความจริง|ผลของการกระทำ,ทุกการกระทำมีผลของมัน จงตัดสินใจด้วยความเที่ยงตรงและซื่อสัตย์,ความไม่เป็นธรรม การหลีกเลี่ยงความรับผิดชอบ หรือการตัดสินที่ลำเอียง
maj12,The Hanged Man,ชายผู้ถูกแขวน,Major,-,12,🙃,การปล่อยวาง|มุมมองใหม่|การรอคอย,บางครั้งการหยุดและมองต่างมุม สำคัญกว่าการฝืนเดินหน้า,การยึดติด การต้านทานสิ่งที่เลี่ยงไม่ได้ หรือการรอคอยที่ไร้จุดหมาย
maj13,Death,ความตาย,Major,-,13,🦋,การเปลี่ยนผ่าน|การสิ้นสุด|การเกิดใหม่,การสิ้นสุดของบทหนึ่ง เพื่อเปิดทางให้การเริ่มต้นที่แท้จริง (ไม่ได้หมายถึงความตายจริง),การยื้อสิ่งที่ควรปล่อย หรือการต้านทานการเปลี่ยนแปลงที่จำเป็น
maj14,Temperance,ความพอดี,Major,-,14,🍶,ความสมดุล|ความอดทน|การผสมผสาน,ความกลมกลืนที่เกิดจากความพอดีและการค่อย ๆ ปรับสมดุลของชีวิต,ความสุดโต่ง ความไม่สมดุล หรือความใจร้อนที่ทำให้เสียจังหวะ
maj15,The Devil,ปีศาจ,Major,-,15,⛓️,พันธนาการ|ความยึดติด|เงา,สิ่งที่ผูกมัดคุณ อาจเป็นความคิดหรือนิสัยที่คุณเลือกจะปลดได้เอง,การเริ่มปลดปล่อยตัวเองจากพันธนาการ หรือการตระหนักถึงสิ่งที่กักขังใจ
maj16,The Tower,หอคอย,Major,-,16,🗼,การเปลี่ยนแปลงฉับพลัน|การตื่นรู้|การพังทลาย,สิ่งที่สั่นคลอนอย่างกะทันหัน มักเผยความจริงและเปิดทางสู่รากฐานใหม่ที่มั่นคงกว่า,การหลีกเลี่ยงความเปลี่ยนแปลงที่จำเป็น หรือวิกฤตที่ค่อย ๆ คลี่คลาย
maj17,The Star,ดวงดาว,Major,-,17,⭐,ความหวัง|การเยียวยา|แรงบันดาลใจ,แสงแห่งความหวังหลังค่ำคืน จงเชื่อมั่นและให้เวลากับการเยียวยาตัวเอง,ความท้อแท้ การสูญเสียศรัทธาชั่วคราว หรือความรู้สึกหมดแรงบันดาลใจ
maj18,The Moon,พระจันทร์,Major,-,18,🌕,ความไม่แน่นอน|ความฝัน|จิตใต้สำนึก,สิ่งต่าง ๆ อาจยังไม่ชัดเจน จงระวังภาพลวงและฟังสัญชาตญาณของตน,ความสับสนที่เริ่มคลี่คลาย ความจริงที่ค่อย ๆ ปรากฏชัดขึ้น
maj19,The Sun,พระอาทิตย์,Major,-,19,☀️,ความสุข|ความสำเร็จ|พลังชีวิต,ช่วงเวลาแห่งความสว่างไสว ความสุข และความชัดเจนในสิ่งที่ทำ,ความสุขที่ถูกบดบังชั่วคราว หรือการมองข้ามสิ่งดี ๆ ที่มีอยู่
maj20,Judgement,การพิพากษา,Major,-,20,📯,การตื่นรู้|การทบทวน|การเริ่มใหม่,เสียงเรียกให้ทบทวนอดีตอย่างเข้าใจ และก้าวสู่บทใหม่ด้วยใจที่เบาขึ้น,การตัดสินตัวเองรุนแรงเกินไป หรือการไม่ยอมปล่อยวางอดีต
maj21,The World,โลก,Major,-,21,🌍,ความสมบูรณ์|การบรรลุ|วัฏจักรที่ครบถ้วน,การเดินทางที่ครบรอบอย่างสมบูรณ์ ความสำเร็จที่รอการเฉลิมฉลอง,สิ่งที่ยังทำไม่เสร็จ หรือความรู้สึกว่าเป้าหมายยังอยู่ไม่ไกลเกินเอื้อม
wa01,Ace of Wands,เอซไม้เท้า,Minor,Wands,1,🔥,แรงบันดาลใจ|พลังใหม่|โอกาส,ประกายไฟแห่งแรงบันดาลใจกำลังจุดขึ้น ถึงเวลาลงมือทำสิ่งใหม่,ความล่าช้า พลังที่ยังหาทางออกไม่เจอ หรือแรงจูงใจที่ริบหรี่
wa02,Two of Wands,สองไม้เท้า,Minor,Wands,2,🗺️,การวางแผน|วิสัยทัศน์|การตัดสินใจ,ยืนอยู่บนจุดที่มองเห็นความเป็นไปได้ ถึงเวลาวางแผนก้าวต่อไป,ความลังเลที่จะก้าวออกจากที่เดิม หรือแผนที่ยังไม่ชัดเจน
wa03,Three of Wands,สามไม้เท้า,Minor,Wands,3,⛵,การขยาย|การรอคอย|ความก้าวหน้า,แผนการเริ่มออกดอกผล มองไปข้างหน้าด้วยความมั่นใจในสิ่งที่ลงแรงไป,อุปสรรคที่ไม่คาดคิด ความล่าช้า หรือการวางแผนที่ยังไม่รอบคอบ
wa04,Four of Wands,สี่ไม้เท้า,Minor,Wands,4,🎉,การเฉลิมฉลอง|ความมั่นคง|ความสุขในบ้าน,ช่วงเวลาแห่งความสุข ความมั่นคง และการฉลองความสำเร็จร่วมกับคนที่รัก,ความไม่ลงตัวในบ้านหรือกลุ่ม หรือความสุขที่ยังรู้สึกไม่สมบูรณ์
wa05,Five of Wands,ห้าไม้เท้า,Minor,Wands,5,⚔️,การแข่งขัน|ความขัดแย้ง|ความท้าทาย,ความขัดแย้งเล็ก ๆ หรือการแข่งขันที่ท้าทายให้คุณพิสูจน์ตัวเอง,การหลีกเลี่ยงความขัดแย้ง หรือการหาข้อตกลงร่วมหลังความวุ่นวาย
wa06,Six of Wands,หกไม้เท้า,Minor,Wands,6,🏆,ชัยชนะ|การยอมรับ|ความภาคภูมิ,ความสำเร็จที่ได้รับการยอมรับ ความพยายามของคุณเริ่มเป็นที่ประจักษ์,ความรู้สึกว่าไม่ได้รับการยอมรับ หรือความกดดันจากความคาดหวัง
wa07,Seven of Wands,เจ็ดไม้เท้า,Minor,Wands,7,🛡️,การยืนหยัด|การป้องกัน|ความมุ่งมั่น,การยืนหยัดในสิ่งที่เชื่อ แม้ต้องเผชิญแรงต้าน จงมั่นคงในจุดยืนของตน,ความเหนื่อยล้าจากการต้านทาน หรือความรู้สึกท้อที่จะสู้ต่อ
wa08,Eight of Wands,แปดไม้เท้า,Minor,Wands,8,💨,ความรวดเร็ว|ความเคลื่อนไหว|ข่าวสาร,สิ่งต่าง ๆ เคลื่อนไปอย่างรวดเร็ว ข่าวดีหรือความคืบหน้ากำลังมาถึง,ความล่าช้า ความวุ่นวาย หรือจังหวะที่รีบร้อนเกินไปจนสับสน
wa09,Nine of Wands,เก้าไม้เท้า,Minor,Wands,9,🪵,ความอดทน|ความยืดหยุ่น|ใกล้เส้นชัย,เหนื่อยแต่ยังไม่ยอมแพ้ อีกเพียงก้าวเดียวก็จะถึงเป้าหมาย,ความเหนื่อยล้าจนอยากถอย หรือการตั้งการ์ดสูงเกินไปจนปิดกั้นตนเอง
wa10,Ten of Wands,สิบไม้เท้า,Minor,Wands,10,🎒,ภาระ|ความรับผิดชอบ|ความหนักอึ้ง,คุณกำลังแบกรับมากเกินไป ถึงเวลาพิจารณาว่าอะไรที่วางลงได้บ้าง,การเริ่มปล่อยวางภาระ หรือการเรียนรู้ที่จะขอความช่วยเหลือ
wa11,Page of Wands,บริวารไม้เท้า,Minor,Wands,11,🧭,ความอยากรู้|การผจญภัย|พลังใหม่,ความกระตือรือร้นแบบเด็ก ๆ ที่พร้อมออกสำรวจสิ่งใหม่ด้วยใจเปิดกว้าง,ความลังเล ความคิดที่ยังไม่ตกผลึก หรือพลังที่ขาดทิศทาง
wa12,Knight of Wands,อัศวินไม้เท้า,Minor,Wands,12,🐎,ความกล้า|การลงมือ|ความมุทะลุ,พลังและความกล้าที่พร้อมพุ่งไปข้างหน้า จงใช้ไฟนี้อย่างมีจุดหมาย,ความหุนหันพลันแล่น การเริ่มที่ไม่จบ หรือพลังที่ปะทุไร้ทิศทาง
wa13,Queen of Wands,ราชินีไม้เท้า,Minor,Wands,13,🌻,ความมั่นใจ|เสน่ห์|ความอบอุ่น,ความมั่นใจที่เปล่งประกายจากภายใน อบอุ่น กล้าหาญ และเป็นตัวของตัวเอง,ความไม่มั่นใจ ความหึงหวง หรือการเปรียบเทียบตัวเองกับผู้อื่น
wa14,King of Wands,ราชาไม้เท้า,Minor,Wands,14,👑,วิสัยทัศน์|ภาวะผู้นำ|แรงบันดาลใจ,ผู้นำที่มีวิสัยทัศน์และกล้าตัดสินใจ นำพาผู้อื่นด้วยไฟแห่งแรงบันดาลใจ,การใช้อำนาจแบบหุนหัน ความดื้อรั้น หรือการนำที่ขาดการรับฟัง
cu01,Ace of Cups,เอซถ้วย,Minor,Cups,1,💧,ความรัก|อารมณ์|การเริ่มต้นทางใจ,หัวใจเปิดรับความรักและความรู้สึกใหม่ ๆ ที่บริสุทธิ์และเต็มเปี่ยม,อารมณ์ที่ถูกกดเก็บ หรือความรู้สึกที่ยังไม่ได้ระบายออกมา
cu02,Two of Cups,สองถ้วย,Minor,Cups,2,💞,ความสัมพันธ์|ความสมดุล|การเชื่อมโยง,การเชื่อมโยงที่กลมกลืนระหว่างสองจิตใจ ความเข้าใจที่เท่าเทียม,ความไม่สมดุลในความสัมพันธ์ ความเข้าใจผิด หรือระยะห่างที่เกิดขึ้น
cu03,Three of Cups,สามถ้วย,Minor,Cups,3,🥂,มิตรภาพ|การเฉลิมฉลอง|ชุมชน,ความสุขที่ได้แบ่งปันกับเพื่อนและคนที่รัก ช่วงเวลาแห่งการเฉลิมฉลอง,ความห่างเหินจากกลุ่ม การสังสรรค์ที่มากเกินไป หรือความรู้สึกโดดเดี่ยว
cu04,Four of Cups,สี่ถ้วย,Minor,Cups,4,😑,ความเบื่อหน่าย|การใคร่ครวญ|การมองข้าม,ความรู้สึกเฉื่อยชาที่ทำให้มองข้ามโอกาสดี ๆ ที่อยู่ตรงหน้า,การเริ่มเปิดใจอีกครั้ง หรือการมองเห็นสิ่งที่เคยละเลย
cu05,Five of Cups,ห้าถ้วย,Minor,Cups,5,😔,ความสูญเสีย|ความเสียใจ|การก้าวต่อ,ความเศร้าจากสิ่งที่เสียไป แต่ยังมีบางสิ่งเหลืออยู่ให้หันกลับมามอง,การเริ่มยอมรับและก้าวข้ามความเสียใจ การให้อภัยตัวเอง
cu06,Six of Cups,หกถ้วย,Minor,Cups,6,🎠,ความทรงจำ|ความบริสุทธิ์|อดีต,ความอบอุ่นจากความทรงจำในอดีต หรือความสัมพันธ์ที่เต็มไปด้วยความจริงใจ,การจมอยู่กับอดีตมากเกินไป จนลืมใช้ชีวิตในปัจจุบัน
cu07,Seven of Cups,เจ็ดถ้วย,Minor,Cups,7,🌫️,ทางเลือก|จินตนาการ|ความลวง,ทางเลือกมากมายที่ชวนฝัน แต่บางอย่างอาจเป็นเพียงภาพลวง จงเลือกด้วยสติ,ความชัดเจนที่กลับคืนมา หรือการตัดสินใจเลือกสิ่งที่เป็นจริง
cu08,Eight of Cups,แปดถ้วย,Minor,Cups,8,🌙,การจากไป|การแสวงหา|การปล่อยวาง,การกล้าเดินจากสิ่งที่ไม่เติมเต็มหัวใจ เพื่อตามหาสิ่งที่มีความหมายกว่า,ความลังเลที่จะจากไป หรือการวนอยู่กับสิ่งเดิมที่ไม่ได้ทำให้มีความสุข
cu09,Nine of Cups,เก้าถ้วย,Minor,Cups,9,😊,ความสมหวัง|ความพึงพอใจ|ความสุข,ความอิ่มเอมใจและความพึงพอใจในสิ่งที่มี ความปรารถนากำลังเป็นจริง,ความสุขที่ผิวเผิน หรือการตามหาความพอใจจากภายนอกมากเกินไป
cu10,Ten of Cups,สิบถ้วย,Minor,Cups,10,🌈,ความสุข|ครอบครัว|ความสมหวัง,ความอิ่มเอมทางใจและความสัมพันธ์ที่เต็มเปี่ยม ความสุขที่ยั่งยืน,ความสุขที่ดูสมบูรณ์แต่ยังมีบางอย่างขาดหาย หรือความคาดหวังที่ไม่ตรงจริง
cu11,Page of Cups,บริวารถ้วย,Minor,Cups,11,🐚,ความอ่อนไหว|จินตนาการ|ข่าวสารทางใจ,ความรู้สึกอ่อนโยนและจินตนาการที่เบ่งบาน อาจมีข่าวดีเกี่ยวกับความรู้สึก,ความอ่อนไหวเกินไป หรือการปิดกั้นความรู้สึกของตนเอง
cu12,Knight of Cups,อัศวินถ้วย,Minor,Cups,12,🌹,ความโรแมนติก|อุดมคติ|การไล่ตามหัวใจ,การเดินตามเสียงหัวใจด้วยความโรแมนติกและอุดมคติที่งดงาม,ความเพ้อฝันที่ไม่ตรงกับความจริง หรืออารมณ์ที่แปรปรวน
cu13,Queen of Cups,ราชินีถ้วย,Minor,Cups,13,🕊️,ความเห็นอกเห็นใจ|สัญชาตญาณ|ความอบอุ่น,ความเข้าใจและเห็นอกเห็นใจที่ลึกซึ้ง การดูแลผู้อื่นด้วยหัวใจ,การให้จนลืมดูแลตัวเอง หรืออารมณ์ที่ท่วมท้นจนขาดสมดุล
cu14,King of Cups,ราชาถ้วย,Minor,Cups,14,🌊,วุฒิภาวะทางอารมณ์|ความสงบ|ความเมตตา,ความมั่นคงทางอารมณ์ที่สงบนิ่ง สามารถดูแลใจตนเองและผู้อื่นได้อย่างสมดุล,การเก็บกดอารมณ์ หรือการควบคุมความรู้สึกจนดูห่างเหิน
sw01,Ace of Swords,เอซดาบ,Minor,Swords,1,⚔️,ความชัดเจน|ความจริง|การตัดสินใจ,ความคิดที่แจ่มชัด ตัดผ่านความสับสนด้วยเหตุผลและความจริง,ความคิดที่ขุ่นมัว ข้อมูลที่ไม่ครบ หรือการตัดสินใจที่ยังไม่พร้อม
sw02,Two of Swords,สองดาบ,Minor,Swords,2,🙈,การตัดสินใจ|ทางตัน|ความลังเล,การเลี่ยงที่จะตัดสินใจ หรือการปิดตาไม่มองความจริงตรงหน้า,ความจริงที่เริ่มปรากฏ หรือการกล้าเผชิญทางเลือกที่เลี่ยงมานาน
sw03,Three of Swords,สามดาบ,Minor,Swords,3,💔,ความเจ็บปวด|การเรียนรู้|การปล่อยวาง,ความเจ็บปวดทางใจที่นำมาซึ่งบทเรียนและการเติบโต,การเริ่มเยียวยาและปล่อยวางความเจ็บช้ำที่ค้างคาใจ
sw04,Four of Swords,สี่ดาบ,Minor,Swords,4,🛌,การพักผ่อน|การฟื้นฟู|ความสงบ,ช่วงเวลาแห่งการพักและฟื้นฟูพลัง ก่อนกลับไปเผชิญสิ่งต่าง ๆ อีกครั้ง,ความเหนื่อยล้าสะสม หรือการฝืนเดินหน้าโดยไม่ยอมพัก
sw05,Five of Swords,ห้าดาบ,Minor,Swords,5,🌪️,ความขัดแย้ง|ชัยชนะที่ว่างเปล่า|ศักดิ์ศรี,ชัยชนะที่อาจต้องแลกด้วยความสัมพันธ์ จงถามว่าคุ้มค่าที่จะเอาชนะหรือไม่,การคืนดี การปล่อยวางความบาดหมาง หรือการเรียนรู้จากความขัดแย้ง
sw06,Six of Swords,หกดาบ,Minor,Swords,6,⛴️,การเปลี่ยนผ่าน|การก้าวข้าม|ความสงบที่รออยู่,การเดินทางออกจากช่วงยากลำบาก สู่น้ำนิ่งที่สงบกว่าเดิม,ความยากที่จะปล่อยวางอดีต หรือการเปลี่ยนผ่านที่ยังไม่ราบรื่น
sw07,Seven of Swords,เจ็ดดาบ,Minor,Swords,7,🎭,กลยุทธ์|การหลบเลี่ยง|ความลับ,การใช้ไหวพริบและกลยุทธ์ แต่ระวังการไม่ซื่อตรงต่อตนเองหรือผู้อื่น,การยอมรับความจริง การเลิกหลบเลี่ยง หรือความลับที่ถูกเปิดเผย
sw08,Eight of Swords,แปดดาบ,Minor,Swords,8,🕸️,ข้อจำกัด|ความกลัว|กับดักทางความคิด,ความรู้สึกติดกับ ทั้งที่ทางออกอาจอยู่ในมือคุณเอง เพียงเปลี่ยนมุมมอง,การเริ่มปลดปล่อยตัวเองจากความกลัว หรือการมองเห็นทางออก
sw09,Nine of Swords,เก้าดาบ,Minor,Swords,9,😰,ความกังวล|ความคิดฟุ้งซ่าน|ความกลัว,ความกังวลในยามค่ำคืนที่มักใหญ่กว่าความจริง จงใจดีกับตัวเองมากขึ้น,การเริ่มคลายความกังวล หรือการหาที่พึ่งเพื่อระบายสิ่งที่แบกไว้
sw10,Ten of Swords,สิบดาบ,Minor,Swords,10,🌅,การสิ้นสุด|จุดต่ำสุด|การเริ่มใหม่,จุดจบของบทที่เจ็บปวด แต่เมื่อถึงจุดต่ำสุดแล้ว ทางเดียวที่เหลือคือขึ้น,การฟื้นตัวจากช่วงยากลำบาก หรือการปล่อยวางสิ่งที่จบไปแล้ว
sw11,Page of Swords,บริวารดาบ,Minor,Swords,11,🔎,ความอยากรู้|ความช่างสังเกต|ความคิดใหม่,ความกระตือรือร้นที่จะเรียนรู้และตั้งคำถาม จิตใจที่ตื่นตัวและคมชัด,การพูดโดยไม่คิด การนินทา หรือพลังงานความคิดที่กระจัดกระจาย
